timestamp,date,open,high,low,close,volume
1710136800,2024-03-11 06:00:00,3851.01,3888.42,3836.12,3888.42,77430.642
1710140400,2024-03-11 07:00:00,3888.41,4027.20,3884.29,4013.37,747574.244
1710144000,2024-03-11 08:00:00,4013.37,4033.25,3992.24,4024.20,207607.852
1710147600,2024-03-11 09:00:00,4024.19,4059.40,3994.02,4045.64,207955.231
1710151200,2024-03-11 10:00:00,4045.63,4047.53,4027.01,4030.48,143200.520
1710154800,2024-03-11 11:00:00,4030.49,4061.91,4022.00,4038.51,186341.107
1710158400,2024-03-11 12:00:00,4038.52,4072.21,4028.51,4058.98,162666.343
1710162000,2024-03-11 13:00:00,4058.94,4066.63,4017.41,4026.14,193663.541
1710165600,2024-03-11 14:00:00,4026.15,4053.28,4025.36,4038.25,122925.041
1710169200,2024-03-11 15:00:00,4038.24,4057.62,4020.00,4020.68,146713.663
1710172800,2024-03-11 16:00:00,4020.69,4050.22,4001.49,4043.97,177541.208
1710176400,2024-03-11 17:00:00,4043.97,4055.93,4033.09,4043.52,90186.412
1710180000,2024-03-11 18:00:00,4043.52,4095.16,4038.26,4063.36,175180.767
1710183600,2024-03-11 19:00:00,4063.36,4067.65,4031.80,4036.12,88616.704
1710187200,2024-03-11 20:00:00,4036.12,4042.20,4032.18,4036.36,49641.905
1710190800,2024-03-11 21:00:00,4036.35,4063.62,4033.74,4058.67,46580.515
1710194400,2024-03-11 22:00:00,4058.66,4074.24,4049.56,4072.92,50704.923
1710198000,2024-03-11 23:00:00,4072.93,4089.08,4066.80,4070.52,78103.496
1710201600,2024-03-12 00:00:00,4070.52,4098.64,4059.00,4062.48,120760.454
1710205200,2024-03-12 01:00:00,4062.48,4074.85,4053.57,4066.33,71928.169
1710208800,2024-03-12 02:00:00,4066.34,4066.34,4053.03,4057.36,37678.101
1710212400,2024-03-12 03:00:00,4057.35,4064.76,4024.30,4033.31,148342.012
1710216000,2024-03-12 04:00:00,4033.31,4056.52,4026.73,4040.53,81170.231
1710219600,2024-03-12 05:00:00,4040.53,4046.60,4035.75,4042.90,34839.908
1710223200,2024-03-12 06:00:00,4042.91,4043.32,4002.10,4033.17,132652.778
1710226800,2024-03-12 07:00:00,4033.16,4035.91,4020.00,4030.09,54045.808
1710230400,2024-03-12 08:00:00,4030.07,4037.78,3968.00,3989.51,217475.717
1710234000,2024-03-12 09:00:00,3989.50,4016.27,3987.36,4013.22,85180.374
1710237600,2024-03-12 10:00:00,4013.23,4015.54,3996.09,4011.00,59726.548
1710241200,2024-03-12 11:00:00,4011.00,4072.00,4008.65,4024.82,177595.743
1710244800,2024-03-12 12:00:00,4024.81,4034.00,3980.00,4026.40,260155.857
1710248400,2024-03-12 13:00:00,4026.40,4042.00,4002.47,4028.94,141261.588
1710252000,2024-03-12 14:00:00,4028.95,4061.83,3981.86,3983.40,286424.277
1710255600,2024-03-12 15:00:00,3983.40,4010.40,3950.00,3992.53,210738.481
1710259200,2024-03-12 16:00:00,3992.53,3996.28,3900.27,3925.46,381204.037
1710262800,2024-03-12 17:00:00,3925.45,3954.70,3831.95,3953.80,537583.056
1710266400,2024-03-12 18:00:00,3953.73,3976.84,3934.87,3973.29,190645.528
1710270000,2024-03-12 19:00:00,3973.28,3995.50,3960.00,3984.96,115645.366
